Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
9,1000,0.2,0.2,50.0,1000,2570,2034,999,49048.558594,0.020368
10,1000,0.2,0.2,50.0,1000,2403,1911,998,49857.546875,0.020017
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.2,0.2,50.0,1000,2413,1922,999,49587.296875,0.020146
2,1000,0.2,0.2,50.0,1000,2467,1973,999,49307.484375,0.020261
3,1000,0.2,0.2,50.0,1000,2519,2001,999,50065.652344,0.019954
4,1000,0.2,0.2,50.0,1000,2463,1984,999,50340.089844,0.019845
5,1000,0.2,0.2,50.0,1000,2399,1927,999,50292.750000,0.019864
6,1000,0.2,0.2,50.0,1000,2437,1933,999,51355.421875,0.019453
7,1000,0.2,0.2,50.0,1000,2484,1980,998,49181.957031,0.020292
8,1000,0.2,0.2,50.0,1000,2361,1909,999,51181.753906,0.019519
9,1000,0.2,0.2,50.0,1000,2570,2034,999,49048.558594,0.020368
10,1000,0.2,0.2,50.0,1000,2403,1911,998,49857.546875,0.020017
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.5,0.2,50.0,1000,6120,3071,991,49749.414062,0.019920
2,1000,0.5,0.2,50.0,1000,6132,3075,925,49032.089844,0.018865
3,1000,0.5,0.2,50.0,1000,6314,3129,981,49651.304688,0.019758
4,1000,0.5,0.2,50.0,1000,6150,3111,990,51562.980469,0.019200
5,1000,0.5,0.2,50.0,1000,6284,3117,954,50594.316406,0.018856
6,1000,0.5,0.2,50.0,1000,6277,3207,998,50971.109375,0.019580
7,1000,0.5,0.2,50.0,1000,6115,3035,935,49376.566406,0.018936
8,1000,0.5,0.2,50.0,1000,6126,3109,987,49992.320312,0.019743
9,1000,0.5,0.2,50.0,1000,6050,2975,952,48068.757812,0.019805
10,1000,0.5,0.2,50.0,1000,6318,3183,930,51020.949219,0.018228
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.5,0.2,50.0,1000,6037,3034,999,49808.570312,0.020057
2,1000,0.5,0.2,50.0,1000,6210,3100,997,48512.714844,0.020551
3,1000,0.5,0.2,50.0,1000,6486,3200,997,50571.328125,0.019715
4,1000,0.5,0.2,50.0,1000,5923,3005,997,49870.636719,0.019992
5,1000,0.5,0.2,50.0,1000,6346,3159,998,50670.769531,0.019696
6,1000,0.5,0.2,50.0,1000,6072,3079,998,50270.929688,0.019852
7,1000,0.5,0.2,50.0,1000,6431,3171,997,49690.398438,0.020064
8,1000,0.5,0.2,50.0,1000,6203,3106,998,50659.261719,0.019700
9,1000,0.5,0.2,50.0,1000,6511,3248,999,49660.960938,0.020116
10,1000,0.5,0.2,50.0,1000,6248,3109,997,49605.921875,0.020098
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.5,0.2,50.0,1000,6037,3034,999,49808.570312,0.020057
2,1000,0.5,0.2,50.0,1000,6210,3100,997,48512.714844,0.020551
3,1000,0.5,0.2,50.0,1000,6486,3200,997,50571.328125,0.019715
4,1000,0.5,0.2,50.0,1000,5923,3005,997,49870.636719,0.019992
5,1000,0.5,0.2,50.0,1000,6346,3159,998,50670.769531,0.019696
6,1000,0.5,0.2,50.0,1000,6072,3079,998,50270.929688,0.019852
7,1000,0.5,0.2,50.0,1000,6431,3171,997,49690.398438,0.020064
8,1000,0.5,0.2,50.0,1000,6203,3106,998,50659.261719,0.019700
9,1000,0.5,0.2,50.0,1000,6511,3248,999,49660.960938,0.020116
10,1000,0.5,0.2,50.0,1000,6248,3109,997,49605.921875,0.020098
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.5,0.2,50.0,1000,6037,3034,999,49808.570312,0.020057
2,1000,0.5,0.2,50.0,1000,6210,3100,997,48512.714844,0.020551
3,1000,0.5,0.2,50.0,1000,6486,3200,997,50571.328125,0.019715
4,1000,0.5,0.2,50.0,1000,5923,3005,997,49870.636719,0.019992
5,1000,0.5,0.2,50.0,1000,6346,3159,998,50670.769531,0.019696
6,1000,0.5,0.2,50.0,1000,6072,3079,998,50270.929688,0.019852
7,1000,0.5,0.2,50.0,1000,6431,3171,997,49690.398438,0.020064
8,1000,0.5,0.2,50.0,1000,6203,3106,998,50659.261719,0.019700
9,1000,0.5,0.2,50.0,1000,6511,3248,999,49660.960938,0.020116
10,1000,0.5,0.2,50.0,1000,6248,3109,997,49605.921875,0.020098
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.5,0.2,50.0,1000,6037,3034,999,49808.570312,0.020057
2,1000,0.5,0.2,50.0,1000,6210,3100,997,48512.714844,0.020551
3,1000,0.5,0.2,50.0,1000,6486,3200,997,50571.328125,0.019715
4,1000,0.5,0.2,50.0,1000,5923,3005,997,49870.636719,0.019992
5,1000,0.5,0.2,50.0,1000,6346,3159,998,50670.769531,0.019696
6,1000,0.5,0.2,50.0,1000,6072,3079,998,50270.929688,0.019852
7,1000,0.5,0.2,50.0,1000,6431,3171,997,49690.398438,0.020064
8,1000,0.5,0.2,50.0,1000,6203,3106,998,50659.261719,0.019700
9,1000,0.5,0.2,50.0,1000,6511,3248,999,49660.960938,0.020116
10,1000,0.5,0.2,50.0,1000,6248,3109,997,49605.921875,0.020098
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.8,0.2,50.0,1000,6139,1257,171,50626.316406,0.003378
2,1000,0.8,0.2,50.0,1000,6182,1231,170,51041.957031,0.003331
3,1000,0.8,0.2,50.0,1000,6677,1337,170,49135.226562,0.003460
4,1000,0.8,0.2,50.0,1000,5586,1143,180,51032.777344,0.003527
5,1000,0.8,0.2,50.0,1000,6298,1247,162,51198.031250,0.003164
6,1000,0.8,0.2,50.0,1000,6408,1306,205,49305.843750,0.004158
7,1000,0.8,0.2,50.0,1000,5988,1150,161,50828.390625,0.003168
8,1000,0.8,0.2,50.0,1000,6168,1254,160,50908.800781,0.003143
9,1000,0.8,0.2,50.0,1000,5859,1150,142,48462.050781,0.002930
10,1000,0.8,0.2,50.0,1000,6055,1207,140,49494.835938,0.002829
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.8,0.2,50.0,1000,19545,3962,402,49144.093750,0.008180
2,1000,0.8,0.2,50.0,1000,23832,4842,510,48060.828125,0.010612
3,1000,0.8,0.2,50.0,1000,22511,4421,457,49925.363281,0.009154
4,1000,0.8,0.2,50.0,1000,21315,4278,498,50421.550781,0.009877
5,1000,0.8,0.2,50.0,1000,21583,4282,452,49433.230469,0.009144
6,1000,0.8,0.2,50.0,1000,19891,3966,431,50358.109375,0.008559
7,1000,0.8,0.2,50.0,1000,22273,4417,457,49605.546875,0.009213
8,1000,0.8,0.2,50.0,1000,25756,5189,513,49493.199219,0.010365
9,1000,0.8,0.2,50.0,1000,18977,3820,402,49804.023438,0.008072
10,1000,0.8,0.2,50.0,1000,25689,5022,551,50409.070312,0.010931
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.8,0.2,50.0,1000,56129,8264,422,49253.523438,0.008568
2,1000,0.8,0.2,50.0,1000,63418,8307,420,49574.082031,0.008472
3,1000,0.8,0.2,50.0,1000,50264,8176,511,50454.347656,0.010128
4,1000,0.8,0.2,50.0,1000,59550,8312,444,49333.660156,0.009000
5,1000,0.8,0.2,50.0,1000,55050,7564,442,47965.976562,0.009215
6,1000,0.8,0.2,50.0,1000,64381,7947,406,49086.921875,0.008271
7,1000,0.8,0.2,50.0,1000,61747,8116,444,50225.039062,0.008840
8,1000,0.8,0.2,50.0,1000,45042,8407,512,50947.074219,0.010050
9,1000,0.8,0.2,50.0,1000,71354,8228,307,50179.554688,0.006118
10,1000,0.8,0.2,50.0,1000,65106,8693,401,50880.105469,0.007881
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.8,0.2,50.0,1000,111993,8762,643,50824.527344,0.012651
2,1000,0.8,0.2,50.0,1000,108963,8618,465,49805.917969,0.009336
3,1000,0.8,0.2,50.0,1000,116194,8309,525,49127.023438,0.010687
4,1000,0.8,0.2,50.0,1000,71525,8229,709,49713.570312,0.014262
5,1000,0.8,0.2,50.0,1000,126274,8288,406,47415.226562,0.008563
6,1000,0.8,0.2,50.0,1000,90226,8413,506,49342.265625,0.010255
7,1000,0.8,0.2,50.0,1000,67230,8789,483,51300.972656,0.009415
8,1000,0.8,0.2,50.0,1000,107013,8692,476,50339.640625,0.009456
9,1000,0.8,0.2,50.0,1000,118844,8524,514,48860.687500,0.010520
10,1000,0.8,0.2,50.0,1000,67184,9064,363,50977.382812,0.007121
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.8,0.2,50.0,1000,190378,8916,651,51708.667969,0.012590
2,1000,0.8,0.2,50.0,1000,313407,8585,465,49651.718750,0.009365
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.8,0.2,50.0,1000,190378,8916,651,51708.667969,0.012590
2,1000,0.8,0.2,50.0,1000,313407,8585,465,49651.718750,0.009365
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.8,0.2,50.0,1000,190378,8916,651,51708.667969,0.012590
2,1000,0.8,0.2,50.0,1000,313407,8585,465,49651.718750,0.009365
3,1000,0.8,0.2,50.0,1000,285568,8474,525,50039.578125,0.010492
4,1000,0.8,0.2,50.0,1000,200240,8242,627,49742.484375,0.012605
